ASV_id	AKh_Mar	MS_Mar	LT_Mar	AR_Mar	LT_May	AKh_Jun	AR_Jun	MS_Jun	AKh_Jul	MS_Jul	LT_Aug	AR_Jul	AKh_Sep	LT_Sep	AR_Sep	Class
ASV1_CL500-29_marine_group_Iluma-A1	1782	1848	2464	1425	1274	1629	2571	1537	1131	311	542	562	458	913	249	Acidimicrobiia
ASV2_SAR11_Clade_III_LD12	1081	887	1350	1410	1845	1483	143	2580	538	666	596	122	1705	1166	247	Alphaproteobacteria
ASV3_CL500-29_marine_group_Iluma-A2	853	984	1446	819	926	1197	1869	989	1071	827	762	801	884	980	684	Acidimicrobiia
ASV4_hgcI_clade_acI-A7	613	493	743	414	715	1269	204	1152	849	1307	765	251	1126	824	1174	Actinobacteria
ASV5_Cyanobium_PCC-6307	470	560	768	318	565	252	2394	174	284	73	1302	412	806	601	576	Cyanobacteriia
ASV6_Cyanobium_PCC-6307	427	385	354	277	96	120	761	78	262	1440	949	2822	537	431	605	Cyanobacteriia
ASV10_hgcI_clade_acI-B1	420	358	635	324	698	950	104	672	312	578	369	139	1100	848	651	Actinobacteria
ASV8_Flavobacterium_Flavo-A2	1292	451	1173	929	235	758	241	803	952	267	693	227	39	45	0	Bacteroidia
ASV7_Fluviicola_bacV	1179	963	182	854	684	292	156	295	703	68	367	205	780	622	517	Bacteroidia
ASV11_CL500-29_marine_group_Iluma-A1	477	494	657	420	445	438	486	542	300	350	278	184	826	749	720	Acidimicrobiia
ASV9_Methylacidiphilaceae_LD19	614	676	472	759	1107	400	219	682	106	511	403	231	416	628	98	Verrucomicrobiae
ASV13_Candidatus_Planktophila_acI-A7	553	485	712	408	509	778	168	679	696	408	332	229	356	403	183	Actinobacteria
ASV14_CL500-29_marine_group_Iluma-B1	213	183	205	189	257	394	1203	294	277	630	720	733	401	238	315	Acidimicrobiia_
ASV12_Verrucomicrobiae_verI-B	960	1274	397	1333	193	86	23	186	365	515	225	122	215	135	15	Verrucomicrobiae
ASV16_hgcI_clade_acI-B1	294	293	397	233	397	671	64	452	279	271	246	76	657	534	391	Actinobacteria
ASV15_Limnohabitans_Lhab-A1	285	266	327	322	566	371	144	356	538	388	706	260	273	295	149	Gammaproteobacteria
