ASV_id	AKh_Mar	MS_Mar	LT_Mar	AR_Mar	LT_May	AKh_Jun	AR_Jun	MS_Jun	AKh_Jul	MS_Jul	LT_Aug	AR_Jul	AKh_Sep	LT_Sep	AR_Sep	Taxa
ASV1_Epischura_baikalensis_100	2318	1892	3042	1811	3015	615	3475	1329	2177	232	6644	5325	7238	8893	2330	Copepoda
ASV464_Epischura_baikalensis_98.9	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	Copepoda
ASV759_Epischura_baikalensis_98.3	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Copepoda
ASV824_Epischura_baikalensis_94.3	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	Copepoda
ASV831_Eudiaptomus_graciloides_99.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	Copepoda
ASV909_Epischura_baikalensis_100	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	Copepoda
ASV146_Cyclops_strenuus_100	0	0	0	0	0	0	0	0	0	0	0	0	35	0	305	Copepoda
ASV438_Eucyclops_serrulatus_100	0	0	29	0	0	0	0	0	0	0	0	0	0	0	0	Copepoda
ASV720_Mesocyclops_pehpeiensis_99.7	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	Copepoda
ASV175_Macrohectopus_branickii_99.7	0	0	0	0	0	0	0	0	0	0	0	0	74	0	176	Amphipoda
ASV191_Daphnia_magna_98.6	0	0	0	0	0	0	0	0	0	0	0	0	154	22	31	Cladocera
ASV252_Bosmina_longirostris_88.4	0	0	0	0	0	0	0	0	0	0	0	4	49	0	60	Cladocera
ASV273_Bosmina_longirostris_99.7	0	0	0	0	0	0	0	0	0	0	0	0	50	0	44	Cladocera
ASV392_Bosmina_longirostris_88.2	0	0	0	0	0	0	0	0	0	0	0	0	38	0	0	Cladocera
ASV52_Synchaeta_100	15	1134	0	10	23	56	170	9	0	0	0	0	0	0	0	Rotifera
ASV141_Notholca_acuminata_100	0	0	11	0	0	31	63	77	177	15	0	0	0	0	0	Rotifera
ASV328_Synchaeta_pectinata_100	0	0	0	0	0	0	0	0	6	0	0	40	0	15	0	Rotifera
ASV383_Keratella_quadrata_100	0	0	0	0	0	0	0	0	0	0	0	0	18	22	0	Rotifera
ASV474_Polyarthra_major_100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	Rotifera
ASV536_Notholca_acuminata_97.6	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	Rotifera
ASV552_Polyarthra_vulgaris_100	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	Rotifera
ASV670_Keratella_cochlearis_100	0	5	0	0	0	0	0	0	0	0	0	0	0	0	4	Rotifera
ASV723_Synchaeta_pectinata_99.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	Rotifera
ASV849_Notholca_acuminata_98.8	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	Rotifera
ASV640_Filinia_longiseta_99.7	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	Rotifera
ASV669_Acyclus_inquietus_99.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	Rotifera
ASV732_Eumonhystera_filiformis_97.8	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Nematoda
ASV948_Manayunkia_88.2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Annelida
