ASV_id	AKh_Mar	MS_Mar	LT_Mar	AR_Mar	LT_May	AKh_Jun	AR_Jun	MS_Jun	AKh_Jul	MS_Jul	LT_Aug	AR_Jul	AKh_Sep	LT_Sep	AR_Sep	Taxa	Function
ASV2_Gyrodinium_helveticum_ps	2229	1536	1828	3151	5334	1533	421	1406	5779	3492	1875	357	204	1339	1743	Dinophyceae	Mixotrophs
ASV3_Cryptomycota_LKM11_s	0	7	0	0	329	5674	9833	4706	87	34	93	298	0	19	0	Fungi	Parasits
ASV6_Chrysochromulina_parva_ps	132	84	2501	62	61	305	27	456	725	2572	1852	1542	3736	1114	1026	Haptophyta	Mixotrophs
ASV4_Chrysophyceae_ps	2301	4922	0	4663	133	915	100	1612	116	31	0	0	52	53	61	Chrysophyceae	Mixotrophs
ASV5_Strombidium_sn	1290	1578	1356	624	1610	748	267	1322	1116	105	618	455	786	2247	223	Ciliophora	Heterotrophs
ASV8_Strombidinopsis_pn	826	665	1683	1209	179	150	112	261	312	5185	333	135	468	1268	104	Ciliophora	Heterotrophs
ASV7_Chlorellales_pn	2137	1962	177	198	67	203	842	18	1331	34	92	5122	83	19	13	Chlorophyta	Autotrophs
ASV9_Tintinnidium_ps	1511	1526	294	2098	316	85	90	215	2325	133	7	21	221	899	44	Ciliophora	Heterotrophs
ASV10_Luciella_p	492	412	105	235	341	607	682	621	538	1724	439	1223	224	584	979	Dinophyceae	Mixotrophs
ASV11_Cryptomonas_ovata_pn	1704	1394	2108	1039	774	590	232	361	0	15	0	0	0	0	0	Cryptophyta	Mixotrophs
ASV13_Hypotrichia_ps	91	354	420	363	861	975	706	2272	12	0	28	13	12	1451	0	Ciliophora	Heterotrophs
ASV14_Plagioselmis_nannoplanctica_pn	188	286	68	143	194	640	113	333	748	213	835	350	1067	759	1311	Cryptophyta	Mixotrophs
ASV12_Cryothecomonas_ps	237	118	82	231	240	1766	2276	1335	99	137	366	94	0	0	0	Cercozoa	Heterotrophs
