ASV_id	BD28	BD29	BD31	BD45	BD70	BD76	BD77	BD86	BD87	BD88	BD89	BD90	BD91	BD93	BD94	total
ASV_1	2183	2834	1479	2033	2108	1997	3006	1334	645	197	559	519	282	650	199	20025
ASV_2	1324	1360	810	2012	3054	1818	167	2240	307	423	615	112	1051	830	198	16321
ASV_3	1044	1509	868	1168	1532	1467	2185	858	611	525	786	740	545	698	548	15084
ASV_4	750	755	446	590	1183	1556	238	1000	484	830	789	232	694	587	941	11075
ASV_5	575	858	461	453	934	308	2799	151	162	46	1343	380	497	428	462	9857
ASV_6	522	590	212	395	158	147	889	67	149	914	979	2608	331	307	485	8753
ASV_7	1444	1477	109	1218	1131	358	182	256	401	43	378	189	481	443	414	8524
ASV_8	1582	691	704	1325	389	929	281	697	543	169	715	209	24	32	0	8290
ASV_9	752	1036	283	1082	1832	490	255	592	60	324	415	213	256	447	78	8115
ASV_10	514	549	381	462	1155	1165	121	583	178	367	380	128	678	604	522	7787
ASV_11	584	757	394	599	735	536	568	470	171	222	286	170	509	533	577	7111
ASV_12	1175	1954	238	1902	319	105	26	161	208	327	232	112	132	96	12	6999
ASV_13	677	744	427	582	841	954	196	589	397	259	342	211	219	287	146	6871
ASV_14	260	280	123	269	424	483	1406	255	158	400	743	677	247	169	252	6146
ASV_15	349	407	196	459	936	454	168	309	307	246	728	240	168	210	119	5296
ASV_16	359	449	238	332	656	822	74	392	159	172	253	70	405	380	313	5074
ASV_17	625	1062	351	974	866	351	77	292	25	0	45	16	7	375	0	5066
ASV_18	162	119	82	126	285	549	87	280	301	408	430	178	306	238	380	3931
ASV_19	85	63	0	74	43	67	257	31	57	762	231	824	181	497	643	3815
ASV_20	244	310	177	254	272	267	952	123	121	37	107	221	77	84	166	3412
ASV_21	202	254	23	192	567	322	291	202	263	29	124	174	215	180	164	3202
ASV_22	172	100	14	103	115	367	181	280	384	164	609	392	195	59	37	3172
ASV_23	122	138	100	169	113	72	486	48	78	192	347	804	62	131	233	3095
ASV_24	728	610	254	672	169	282	51	203	50	0	55	0	19	0	0	3093
ASV_25	294	353	166	295	251	270	736	95	85	34	90	208	27	84	45	3033
ASV_26	360	434	198	590	477	165	43	115	94	101	168	46	61	136	42	3030
ASV_27	319	451	177	474	335	287	46	247	74	88	144	46	106	180	33	3007
ASV_28	175	186	91	173	361	566	81	236	141	240	252	100	80	121	136	2939
ASV_29	257	175	26	227	282	88	336	131	110	63	179	526	18	20	8	2446
ASV_30	52	83	33	24	37	20	96	0	0	9	100	352	198	423	958	2385
ASV_31	173	97	10	174	204	110	303	172	136	65	203	638	0	0	6	2291
ASV_32	156	202	119	231	659	206	39	164	48	33	95	41	43	79	28	2143
ASV_34	129	160	97	126	234	297	130	125	100	116	186	77	83	71	94	2025
ASV_35	53	60	7	60	436	202	84	231	224	77	188	202	75	99	26	2024
ASV_36	19	22	11	19	21	7	40	7	10	9	55	122	104	107	1452	2005
ASV_37	54	69	32	72	430	88	41	96	113	80	586	59	40	34	13	1807
ASV_39	75	73	43	50	176	158	208	93	91	125	192	209	60	41	186	1780
ASV_41	220	271	136	308	293	163	41	115	7	0	30	8	0	78	0	1670
ASV_42	158	214	112	162	225	313	66	97	53	25	58	35	41	45	30	1634
ASV_43	94	262	0	219	301	86	43	138	88	44	114	113	27	48	42	1619
