Sample	Seasonal	Station	Basin	T	Si	PO4	TP	NO3	COD	PO	DL
AKh_Mar	spring_under_ice	Aral-Khoboi	Middle	1.8	0.61	0.019	0.011	0.47	1.7	0.8	700
MS_Mar	spring_under_ice	Maloe More	Middle	1.7	0.63	0.017	0.012	0.44	1.7	0.72	700
LT_Mar	spring_under_ice	Listvyanka-Tankhoi	South	1.7	0.5	0.018	0.011	0.41	1.4	0.48	753
AR_Mar	spring_under_ice	Akademicheskij Ridge	Middle	0.9	0.63	0.017	0.013	0.45	1.6	0.64	708
LT_May	spring_open_water	Listvyanka-Tankhoi	South	2.7	0.47	0.024	0.01	0.38	4.7	0.76	970
AKh_Jun	spring_open_water	Aral-Khoboi	Middle	2.6	0.4	0.024	0.013	0.4	6.2	0.6	1006
AR_Jun	spring_open_water	Akademicheskij Ridge	Middle	2.4	0.41	0.021	0.012	0.41	4.4	0.76	1002
MS_Jun	spring_open_water	Maloe More	Middle	3.2	0.29	0.019	0.014	0.32	7	0.68	1006
AKh_Jul	summer	Aral-Khoboi	Middle	10.6	0.53	0.013	0.009	0.34	7.3	0.95	948
MS_Jul	summer	Maloe More	Middle	13.4	0.23	0	0.007	0.06	5.4	0.83	947
LT_Aug	summer	Listvyanka-Tankhoi	South	13.9	0.52	0.006	0.008	0.17	3.2	0.87	928
AR_Jul	summer	Akademicheskij Ridge	Middle	12	0.5	0.015	0.01	0.27	5.5	0.59	950
AKh_Sep	autumn	Aral-Khoboi	Middle	10	0.56	0.004	0.009	0.1	4.9	1.1	727
LT_Sep	autumn	Listvyanka-Tankhoi	South	8.8	0.49	0.004	0.011	0.14	3.2	0.95	715
AR_Sep	autumn	Akademicheskij Ridge	Middle	11.9	0.49	0.004	0.007	0.14	4.1	0.76	727
